id;symbol;name;rate;created_by;created_date
1;USD;US dollar;1.168196;system;2018-07-23
2;JPY;Japanese yen;130.020194;system;2018-07-23
3;RUB;Russian ruble;73.952580;system;2018-07-23
4;GBP;GB pound;0.888869;system;2018-07-23
5;EUR;Euro;1.000000;system;2018-07-23
6;FJD;Fijian Dollar;2.446194;system;2018-07-23
7;MXN;Mexican Peso;22.031003;system;2018-07-23
8;STD;São Tomé and Príncipe Dobra;24510.383427;system;2018-07-23
9;LVL;Latvian Lats;0.724924;system;2018-07-23
10;SCR;Seychellois Rupee;15.700323;system;2018-07-23
11;CDF;Congolese Franc;1828.811767;system;2018-07-23
12;BBD;Barbadian Dollar;2.336392;system;2018-07-23
13;GTQ;Guatemalan Quetzal;8.746301;system;2018-07-23
14;CLP;Chilean Peso;764.642535;system;2018-07-23
15;HNL;Honduran Lempira;27.928035;system;2018-07-23
16;UGX;Ugandan Shilling;4336.809905;system;2018-07-23
17;ZAR;South African Rand;15.540280;system;2018-07-23
18;TND;Tunisian Dinar;3.086257;system;2018-07-23
19;CUC;Cuban Convertible Peso;1.168196;system;2018-07-23
20;BSD;Bahamian Dollar;1.168196;system;2018-07-23
21;SLL;Sierra Leonean Leone;9801.162397;system;2018-07-23
22;SDG;Sudanese Pound;20.975191;system;2018-07-23
23;IQD;Iraqi Dinar;1390.152980;system;2018-07-23
24;CUP;Cuban Peso;30.957188;system;2018-07-23
25;GMD;Gambian Dalasi;55.570704;system;2018-07-23
26;TWD;New Taiwan Dollar;35.783006;system;2018-07-23
27;RSD;Serbian Dinar;117.732641;system;2018-07-23
28;DOP;Dominican Peso;58.059332;system;2018-07-23
29;KMF;Comorian Franc;489.906259;system;2018-07-23
30;MYR;Malaysian Ringgit;4.746961;system;2018-07-23
31;FKP;Falkland Islands Pound;0.888181;system;2018-07-23
32;XOF;CFA Franc BCEAO;655.568100;system;2018-07-23
33;GEL;Georgian Lari;2.847596;system;2018-07-23
34;BTC;Bitcoin;0.000139;system;2018-07-23
35;UYU;Uruguayan Peso;36.284160;system;2018-07-23
36;MAD;Moroccan Dirham;11.038162;system;2018-07-23
37;CVE;Cape Verdean Escudo;109.868817;system;2018-07-23
38;TOP;Tongan Paʻanga;2.717576;system;2018-07-23
39;AZN;Azerbaijani Manat;1.985350;system;2018-07-23
40;OMR;Omani Rial;0.449523;system;2018-07-23
41;PGK;Papua New Guinean Kina;3.852475;system;2018-07-23
42;KES;Kenyan Shilling;117.228444;system;2018-07-23
43;SEK;Swedish Krona;10.313089;system;2018-07-23
44;BTN;Bhutanese Ngultrum;80.401071;system;2018-07-23
45;UAH;Ukrainian Hryvnia;31.038570;system;2018-07-23
46;GNF;Guinean Franc;10530.117113;system;2018-07-23
47;ERN;Eritrean Nakfa;17.511348;system;2018-07-23
48;MZN;Mozambican Metical;67.165668;system;2018-07-23
49;SVC;Salvadoran Colón;10.221863;system;2018-07-23
50;ARS;Argentine Peso;32.068147;system;2018-07-23
51;QAR;Qatari Rial;4.251997;system;2018-07-23
52;IRR;Iranian Rial;51260.431185;system;2018-07-23
53;MRO;Mauritanian Ouguiya;414.709350;system;2018-07-23
54;CNY;Chinese Yuan;7.942543;system;2018-07-23
55;THB;Thai Baht;38.983859;system;2018-07-23
56;UZS;Uzbekistan Som;9061.694871;system;2018-07-23
57;XPF;CFP Franc;119.366122;system;2018-07-23
